0,51,367
1,54,433
2,63,507
3,86,562
4,106,582
5,122,597
6,140,609
7,162,618
8,193,622
9,227,620
10,255,612
11,282,601
12,308,587
13,339,566
14,385,510
15,400,433
16,399,364
17,62,334
18,74,324
19,93,318
20,120,320
21,158,341
22,216,340
23,256,317
24,290,314
25,319,319
26,341,330
27,185,357
28,183,373
29,178,407
30,174,445
31,135,455
32,157,464
33,179,469
34,210,464
35,230,456
36,88,362
37,103,355
38,128,353
39,149,361
40,133,368
41,107,368
42,241,361
43,264,352
44,292,353
45,306,359
46,285,367
47,259,367
48,122,511
49,135,507
50,146,505
51,185,506
52,232,504
53,249,506
54,270,509
55,247,523
56,229,531
57,188,537
58,153,531
59,139,524
60,131,511
61,159,514
62,188,516
63,224,513
64,267,509
65,224,516
66,188,518
67,158,516
68,50,334
69,63,284
70,109,252
71,188,243
72,280,247
73,354,278
74,391,329
